Protein	UniquePeptides	TotalPSMs	Cp1	Cp2	Lf1	Lf2	Mt1	Mt2	Cp1_noPF	Cp2_noPF	Lf1_noPF	Lf2_noPF	Mt1_noPF	Mt2_noPF
AT1G57540.1	1	1	0	0	0	25394486.54	145777693.1	140266457.1	0	0	0	0	0	140266457.1
AT1G57590.1	1	1	0	854031655.4	14337671	47762880.3	132198103.1	90163559.69	0	0	0	47762880.3	0	0
AT1G57610.1	5	11	2939879.708	5073634.244	110728167.5	46038729.39	1691072953.17	1702241282.83	0	0	0	0	1691072953.17	1551994585.63
AT1G57720.1	13	28	20909170.94	366091226.699	4682792586	3867080811.81	588110790.39	650066551.05	0	0	3819702074	3058729590.79	511567995.9	0
AT1G57770.1	9	18	458957504.94	129282632.514	515999908	806906714.71	261300541.562	242485580.37	443224629.28	41486155.7	157091612	613075927.93	0	0
AT1G57990.1	1	1	0	0	23454328	8679421.325	0	0	0	0	23454328	0	0	0
AT1G58080.1	2	5	156642468.28	24169430.95	76392380	73302795.8	0	0	156642468.28	0	76392380	33038604.35	0	0
AT1G58180.1	3	3	4907391.767	0	7049935.5	11213421.548	182057611.71	185816251.47	0	0	0	0	182057611.71	0
AT1G58270.1	8	18	19783624.27	42585847.413	685350168	397936515.316	1189815604.91	689678937.43	19783624.27	37458223	563412656	291460032	660741593.41	508397796.99
AT1G58290.1	9	15	755846893.63	216990497.26	96387032	90797438.568	34739397.4	42689956.497	595128902.93	162967976.77	33972832	35190894.39	0	0
AT1G58380.1	2	8	0	0	828356068	969964813	15006153.49	59203680.03	0	0	828356068	969964813	0	59203680.03
AT1G59610.1	10	21	13046703.258	3840487.473	570278624	552183485.77	203247472.15	203706542.14	0	0	414093388	494799065.43	117351974.25	115433675.04
AT1G59700.1	3	4	0	0	288935224	420928306.3	0	16291860.44	0	0	191872944	275441761.3	0	0
AT1G59840.1	7	14	433386864.92	575110800.89	225824284	204019044.68	795698820.015	470669528.85	377794001.81	329650388.49	0	120340925.62	0	0
AT1G59870.1	51	109	165469739.986	206417189.0273	4454158648.0625	5025915785.245	4898533415.705	5056024524.96	0	0	3170987869.5	3978130003.04	4072220017.28	3960000930.67
AT1G59900.1	42	137	165607236.461	256377442.197	3318538494	3168821102.822	45755266212.01	39851370267.81	0	0	1621998244	1892367219.04	44753369094.98	38325576733.67
AT1G59910.1	1	1	0	0	0	0	62983693.39	72356225.19	0	0	0	0	62983693.39	0
AT1G59990.1	3	3	55976681.598	17351818.025	25111486	16022590.47	38544578.2	20175613.48	55976681.598	0	0	0	0	0
AT1G60000.1	4	6	206806396.557	47467965.334	87987496	181852430.72	0	0	92356436.257	0	67282920	181852430.72	0	0
AT1G60070.1	1	1	0	0	52441204	28319511.72	0	0	0	0	52441204	0	0	0
AT1G60420.1	3	3	0	0	170139736	156043875.6	0	0	0	0	112510656	37299309.98	0	0
AT1G60550.1	4	7	7881150.693	31425661.546	90638548	65567013.484	115792430.51	207056965.27	0	0	44150052	33568458.22	98222138.66	166597693.21
AT1G60710.1	7	14	0	4568875.755	685323322	390589256.05	5897352.673	123351328.46	0	0	685323322	323566658.29	0	0
AT1G60770.1	15	30	11537378.16	5799359.239	67268904.5	183421437.184	1385270287.54	1547976345.57	0	0	0	0	1385270287.54	1491208284.64
AT1G60780.1	3	3	0	2775042.947	0	84124200.86	57749671.441	56659132.057	0	0	0	84124200.86	22001466.43	0
AT1G60950.1	2	2	142050653.8	0	0	0	0	0	142050653.8	0	0	0	0	0
AT1G60990.1	1	1	14108682.9	0	21983818	25267017.73	0	0	14108682.9	0	0	0	0	0
AT1G61150.1	1	1	0	0	36094484	23735566.71	0	0	0	0	0	23735566.71	0	0
AT1G61250.1	4	6	0	0	520570944	349903983.94	56074025.58	135039481.96	0	0	520570944	108667679.2	0	0
AT1G61520.1	11	169	137928063189.8	248517158306.095	67425100431	66854228139.9	12409802354.46	11526071492.67	137928063189.8	248517158306.095	67425100431	66612237535.5	8065641002.5	11327747192.6
AT1G61570.1	4	6	2274971.643	0	32504774	55566169.855	2627965755.4	1687207090.34	0	0	0	0	2411840705.6	1187593694.14
AT1G61730.1	14	27	7594602.966	29860450239.99	50804975	32798111.154	2413365331.59	1965914103.7933	0	29832031116.86	0	13343922.8	2111604137.75	1965385941.78
AT1G61770.1	1	2	3803191.281	20209496.28	33860652	57657605.84	39653852.54	0	0	0	0	0	39653852.54	0
AT1G61790.1	4	9	73890527.69	0	260271400	225878073.13	306386879.51	302503321.83	0	0	72266632	178670294.81	292616540.95	253418575.84
AT1G61870.1	8	14	8872618.7	0	105046623	62044433.921	1225609893.98	1050401692.18	0	0	0	0	1225609893.98	740807284.6
AT1G61900.1	2	3	0	30098443.27	106259260	28446508.13	0	0	0	0	65670692	28446508.13	0	0
AT1G61980.1	1	1	0	0	0	0	25903844.13	40738012.95	0	0	0	0	25903844.13	0
AT1G61990.1	4	5	0	0	9829767	0	335673934.92	357577376.93	0	0	0	0	83765572.31	357577376.93
AT1G62020.1	4	5	0	0	245038152	284842265.5	0	398766349.57	0	0	179424996	141210694.35	0	0
AT1G62180.1	6	9	236174306.81	41979472.078	138435792	77730010.54	45539638.15	48281706.95	236174306.81	0	36329512	35408740.13	0	0
AT1G62330.1	4	7	0	0	33960558.5	18602406.576	111327000.18	147460567.4	0	0	0	0	91435055.91	147460567.4
AT1G62380.1	4	7	14097077.262	13291096.51	1152562152	704910481.62	21135294.27	17464013.87	0	0	1152562152	472454636.8	0	0
AT1G62390.1	3	4	75515710.8	38319121.45	106476224	96628659.4	32701469.86	86558985.27	0	0	48302096	96628659.4	0	0
AT1G62430.1	2	4	0	0	30312300	109209804.96	0	0	0	0	30312300	109209804.96	0	0
AT1G62480.1	11	30	234097337.72	64516858.995	6611533058	1455518881.7	76405536.953	476346620.49	35986380.66	0	6611533058	1056685742.8	0	0
AT1G62570.1	1	3	0	0	39472820	98432007.54	0	0	0	0	0	98432007.54	0	0
AT1G62640.1	5	13	497084058.92	180082083.52	403295152	325600246.7	6295160.817	356523847.43	229520690.62	104830254.6	371064040	293622127.42	0	0
AT1G62660.1	2	2	0	0	183875560	0	0	0	0	0	183875560	0	0	0
AT1G62730.1	4	6	0	11825537.95	22939093	14918896.63	368567663.74	542499358.76	0	0	0	0	177504296.92	542499358.76
AT1G62740.1	8	13	61457388.93	88236083.78	439979782	415135590.33	370264173.071	457423029.23	0	88236083.78	191301198	214938223.37	0	0
AT1G62750.1	34	121	10647948927.77	1452696631.376	11279149920	12179575223.22	462095458.662	431078874.18	8914703490.97	976461861.856	10832946002	10814691525.1	140126560.1	0
AT1G62780.1	7	19	1085755601.82	145970132.19	731180914	1395083135.6	21856469.89	38765140.63	1085755601.82	65479774.16	447174706	991264192.7	0	0
AT1G62810.1	1	2	47951614.8	0	42266804	40763239.96	11849696.56	0	0	0	42266804	40763239.96	0	0
AT1G62820.1	4	7	0	0	242420042	265482988.91	32250150.88	135822174.81	0	0	187943642	265482988.91	0	0
