"Master Protein Accessions","arabidopsis_chloroplast_1","arabidopsis_chloroplast_2","arabidopsis_mito_1","arabidopsis_mito_2","arabidopsis_nuclear_1","arabidopsis_nuclear_2"
"AT4G34730.1",5,0,0,0,1,2
"AT4G34740.1",13,5,0,0,3,4
"AT4G34830.1",9,2,0,0,0,0
"AT4G34870.1",1,0,8,6,7,7
"AT4G35000.1",5,2,19,13,9,7
"AT4G35250.1",16,18,9,5,16,12
"AT4G35260.1",1,1,31,30,10,3
"AT4G35450.1",1,1,3,0,6,5
"AT4G35630.1",10,16,0,0,6,4
"AT4G35760.1",2,1,0,0,1,0
"AT4G35770.1",2,0,0,0,0,0
"AT4G35830.1",1,0,6,8,18,15
"AT4G36390.1",1,0,0,0,0,0
"AT4G36530.1",5,2,0,0,1,1
"AT4G36810.1",1,0,0,0,2,1
"AT4G36910.1",1,1,0,0,0,2
"AT4G37000.1",11,9,0,0,10,10
"AT4G37200.1",9,11,0,0,6,3
"AT4G37270.1",1,2,0,0,0,1
"AT4G37510.1",4,0,1,0,1,0
"AT4G37925.1",9,10,1,0,5,5
"AT4G37930.1",20,15,174,130,21,23
"AT4G38100.1",2,1,0,0,1,1
"AT4G38225.1",1,0,0,0,0,1
"AT4G38460.1",4,4,0,0,4,3
"AT4G38510.1",7,0,2,1,2,4
"AT4G38970.1",31,19,7,4,21,28
"AT4G39040.1",2,1,0,0,1,0
"AT4G39120.1",2,0,0,0,1,2
"AT4G39210.1",2,2,0,0,1,6
"AT4G39260.1",3,2,5,5,5,4
"AT4G39460.1",6,6,3,2,3,5
"AT4G39710.1",8,13,0,0,4,3
"AT4G39960.1",6,5,2,0,0,1
"AT4G39970.1",5,4,0,0,3,3
"AT4G39980.1",6,4,1,0,2,1
"AT5G01220.1",11,11,0,0,4,1
"AT5G01500.1",2,3,0,0,0,0
"AT5G01530.1",42,43,9,11,26,30
"AT5G01590.1",15,9,0,0,4,5
"AT5G01600.1",11,9,0,0,2,12
"AT5G01650.1",4,1,1,0,5,3
"AT5G01750.1",1,0,2,1,3,3
"AT5G01870.1",1,0,0,0,0,0
"AT5G01920.1",14,24,1,0,9,9
"AT5G02120.1",1,1,0,0,1,1
"AT5G02160.1",7,4,3,0,2,3
"AT5G02250.1",2,0,0,0,0,0
"AT5G02450.1",1,0,6,0,0,0
"AT5G02500.1",12,6,9,5,28,26
"AT5G02790.1",1,0,0,0,7,7
"AT5G02870.1",1,2,5,5,8,9
"AT5G02940.1",31,16,1,2,9,14
"AT5G03350.1",5,12,8,6,10,8
"AT5G03420.1",1,2,0,0,0,0
"AT5G03555.1",1,0,0,0,0,0
"AT5G03650.1",7,1,0,0,5,9
"AT5G03880.1",10,16,2,2,10,11
"AT5G03900.1",3,7,0,0,0,2
"AT5G03910.1",2,0,0,0,0,1
"AT5G03940.1",31,28,1,0,16,14
"AT5G04130.1",3,3,11,3,0,0
"AT5G04140.1",79,39,8,1,55,62
"AT5G04260.1",1,0,0,0,0,0
"AT5G04360.1",19,2,0,1,3,12
"AT5G04440.1",3,0,0,0,2,2
"AT5G04590.1",29,23,0,0,15,12
"AT5G04710.1",4,3,1,0,1,1
"AT5G04740.1",13,5,0,0,6,4
"AT5G04810.1",4,0,0,0,0,0
"AT5G04900.1",8,13,2,2,2,3
"AT5G05000.1",7,7,5,1,4,2
"AT5G05590.1",4,2,0,0,0,2
"AT5G05730.1",7,3,0,0,1,0
"AT5G05740.1",11,15,0,0,5,7
"AT5G06130.1",1,0,0,0,0,0
"AT5G06220.1",1,0,0,0,0,0
"AT5G06290.1",6,2,0,1,3,5
"AT5G06690.1",1,1,1,0,2,1
"AT5G06870.1",3,2,0,0,6,6
"AT5G07020.1",17,21,2,2,5,6
"AT5G07030.1",3,5,0,0,8,4
"AT5G07090.1",8,6,13,10,1,1
"AT5G07440.1",1,0,20,24,5,5
"AT5G07900.1",1,1,0,0,0,0
"AT5G08050.1",4,5,1,2,2,3
"AT5G08280.1",30,13,1,0,15,11
"AT5G08300.1",4,4,11,10,5,3
"AT5G08410.1",6,3,0,0,4,4
"AT5G08540.1",13,12,7,4,8,6
"AT5G08610.1",1,1,2,0,0,0
"AT5G08650.1",7,2,0,0,2,3
"AT5G08680.1",15,17,246,181,33,37
"AT5G08740.1",13,17,0,0,7,7
"AT5G09590.1",1,1,64,47,20,18
"AT5G09650.1",15,12,4,2,15,13
"AT5G09660.1",6,8,26,23,18,24
"AT5G09810.1",7,4,4,3,8,15
"AT5G10050.1",1,0,1,0,0,1
"AT5G10160.1",6,3,0,0,2,0
"AT5G10330.1",5,2,0,0,1,2
"AT5G10690.1",1,0,0,0,0,0
"AT5G10920.1",11,5,0,0,7,5
"AT5G11450.1",7,14,0,0,4,3
"AT5G11480.1",2,0,0,0,0,0
"AT5G11520.1",2,2,13,8,6,6
"AT5G11670.1",3,2,5,6,22,22
"AT5G11770.1",1,0,25,24,2,7
"AT5G11840.1",1,2,0,0,0,0
"AT5G11880.1",4,5,0,0,2,1
"AT5G12040.1",5,2,5,3,7,3
"AT5G12110.1",1,0,0,0,0,0
"AT5G12130.1",4,3,0,0,0,0
"AT5G12170.2",1,1,0,0,0,0
"AT5G12470.1",11,7,0,2,8,6
"AT5G12860.1",4,4,2,1,1,3
"AT5G13030.1",10,5,12,5,11,11
"AT5G13120.1",12,15,0,0,11,10
"AT5G13280.1",3,0,0,0,1,0
"AT5G13410.1",10,11,0,1,6,6
"AT5G13420.1",11,12,0,0,11,11
"AT5G13440.1",1,1,21,16,5,7
"AT5G13450.1",3,2,76,61,9,10
"AT5G13510.1",13,8,1,1,11,13
"AT5G13630.1",43,17,0,0,11,4
"AT5G13650.1",14,0,0,0,4,1
"AT5G13720.1",4,1,0,0,3,1
"AT5G13770.1",1,0,0,0,0,0
"AT5G13850.1",1,0,1,0,2,0
"AT5G14040.1",1,1,48,42,12,16
"AT5G14060.1",6,3,0,0,0,8
"AT5G14200.1",2,0,0,0,5,5
"AT5G14220.1",7,7,1,0,4,5
"AT5G14260.1",11,2,0,0,7,7
"AT5G14320.1",17,7,1,1,9,7
"AT5G14590.1",6,2,23,16,6,7
"AT5G14660.1",6,2,0,0,5,3
"AT5G14670.1",2,4,6,2,16,13
"AT5G14740.1",2,1,17,14,16,9
"AT5G14780.1",16,18,130,87,35,38
"AT5G14910.1",5,3,0,0,4,4
"AT5G15090.1",4,3,38,25,11,11
"AT5G15200.1",3,3,6,7,4,1
"AT5G15450.1",23,10,0,0,17,30
"AT5G15650.1",2,2,0,0,1,2
"AT5G15970.1",2,5,10,12,7,4
"AT5G16010.1",2,2,4,1,3,2
"AT5G16150.1",1,2,2,0,10,10
"AT5G16290.1",2,0,0,0,2,0
"AT5G16390.1",10,6,0,0,6,3
"AT5G16400.1",6,0,0,0,3,1
"AT5G16410.1",3,2,0,0,0,0
"AT5G16440.1",2,2,0,0,2,3
"AT5G16470.1",1,1,2,3,0,0
"AT5G16620.1",16,8,2,0,9,6
"AT5G16660.1",4,5,1,1,4,3
"AT5G16710.1",19,16,1,1,15,16
"AT5G16715.1",12,0,1,0,9,4
"AT5G16810.1",4,2,0,0,0,2
"AT5G16870.1",2,0,1,0,0,0
"AT5G17170.1",13,14,3,3,5,4
"AT5G17230.1",6,4,0,0,0,1
"AT5G17270.1",1,0,0,0,0,0
"AT5G17520.1",2,1,0,0,1,1
"AT5G17530.1",8,3,0,0,5,3
"AT5G17560.1",4,0,6,7,1,2
"AT5G17630.1",1,1,0,0,1,2
"AT5G17670.1",2,3,0,0,3,1
"AT5G17710.1",8,6,0,0,15,12
"AT5G17790.1",2,0,0,0,0,0
"AT5G17870.1",3,0,0,0,1,1
"AT5G17910.1",1,0,0,0,0,0
"AT5G17920.1",8,8,14,10,38,30
"AT5G17990.1",9,4,0,0,3,4
"AT5G18100.1",1,0,2,3,0,1
"AT5G18170.1",1,1,38,30,10,11
"AT5G18570.1",5,0,0,0,0,0
"AT5G18660.1",10,9,0,0,6,7
"AT5G19220.1",39,15,1,0,26,27
"AT5G19370.1",10,1,11,8,2,6
"AT5G19460.1",5,0,3,1,0,4
"AT5G19540.1",1,1,0,0,0,0
"AT5G19620.1",10,10,2,1,7,5
"AT5G19850.1",1,1,0,0,0,0
"AT5G19855.1",4,0,0,0,1,0
"AT5G19940.1",11,13,2,3,9,8
"AT5G20130.1",1,0,0,0,0,0
"AT5G20140.1",11,8,0,0,1,5
"AT5G20410.1",1,0,0,0,0,0
"AT5G20630.1",4,4,0,0,5,5
"AT5G20720.1",14,13,3,2,12,11
"AT5G20950.1",1,5,0,0,10,4
"AT5G20980.1",3,0,2,0,3,2
"AT5G21430.1",8,11,0,0,8,8
"AT5G21930.1",1,1,0,0,0,0
"AT5G22340.1",5,3,0,0,0,0
"AT5G22440.1",1,0,0,0,1,0
"AT5G22510.1",6,0,0,0,5,3
"AT5G22580.1",3,1,0,0,8,5
"AT5G22620.1",4,2,0,0,3,0
"AT5G22630.1",2,0,0,0,0,0
"AT5G22640.1",8,6,0,0,1,0
"AT5G22790.1",1,0,0,0,0,1
"AT5G22800.1",30,2,0,0,20,10
"AT5G22830.1",8,8,0,0,0,0
"AT5G22880.1",1,2,5,5,1,1
"AT5G23010.1",2,3,0,0,2,2
"AT5G23040.1",5,2,2,1,1,0
"AT5G23060.1",28,37,13,6,22,25
"AT5G23120.1",34,35,5,2,25,31
"AT5G23240.1",1,2,0,0,0,0
"AT5G23310.1",2,2,0,0,0,0
"AT5G23440.1",6,3,0,0,2,3
"AT5G23890.1",20,18,1,0,7,6
"AT5G24020.1",6,1,0,0,3,3
"AT5G24300.1",15,4,0,0,13,12
"AT5G24314.1",1,1,0,0,1,0
"AT5G24400.1",6,2,0,0,5,4
"AT5G24490.1",9,3,4,4,6,3
"AT5G24650.1",3,5,0,0,4,3
"AT5G24690.1",12,3,2,1,3,2
"AT5G24780.1",1,0,0,0,0,0
"AT5G25900.1",2,11,0,0,1,0
"AT5G25940.1",1,1,9,6,1,1
"AT5G25980.1",7,15,36,33,33,35
"AT5G26000.1",1,16,24,11,43,49
"AT5G26570.1",29,11,0,0,21,32
"AT5G26742.1",25,11,0,0,13,12
"AT5G27290.1",1,6,0,0,1,1
"AT5G27380.1",4,1,0,0,10,10
"AT5G27390.1",6,5,0,0,2,1
"AT5G27560.1",6,3,0,0,3,3
"AT5G27670.1",1,2,13,10,2,3
"AT5G28500.1",9,2,0,0,1,3
"AT5G28540.1",2,7,3,2,3,6
"AT5G28750.1",9,4,0,0,5,4
"AT5G30510.1",25,16,4,1,19,14
"AT5G33320.1",3,2,6,0,4,4
"AT5G35100.1",7,7,0,0,3,5
"AT5G35170.1",23,17,0,0,16,16
"AT5G35220.1",5,7,0,0,2,1
"AT5G35360.1",27,18,0,0,22,17
"AT5G35630.1",38,20,7,4,30,30
"AT5G35790.1",14,7,0,0,5,7
"AT5G35970.1",18,7,0,0,10,7
"AT5G36120.1",2,1,0,0,0,0
"AT5G36170.1",8,1,0,0,3,2
"AT5G36210.1",2,0,2,1,4,7
"AT5G36790.1",16,7,3,1,21,25
"AT5G36880.1",18,6,0,0,8,11
"AT5G36890.1",2,0,0,0,0,2
"AT5G37360.1",7,12,0,1,7,8
"AT5G37850.1",1,0,0,0,2,3
"AT5G38060.1",2,1,0,0,0,2
"AT5G38360.1",1,0,0,0,0,0
"AT5G38410.1",12,4,3,2,4,9
"AT5G38430.1",6,4,1,1,4,6
"AT5G38510.1",3,0,0,0,0,0
"AT5G38520.1",3,4,0,0,2,2
"AT5G38530.1",1,3,0,0,2,5
"AT5G38660.1",11,17,1,1,11,9
"AT5G39410.1",3,3,10,8,8,10
"AT5G39790.1",1,2,0,0,0,0
"AT5G39830.1",7,9,0,0,4,4
"AT5G40450.1",1,0,2,1,65,49
"AT5G40520.1",1,0,0,0,1,1
"AT5G40770.1",1,2,13,16,4,11
"AT5G40950.1",4,1,3,1,2,2
"AT5G41210.1",1,0,20,12,7,1
"AT5G41480.1",1,0,5,2,0,0
"AT5G41670.1",10,8,1,0,5,6
"AT5G41960.1",2,3,0,0,0,0
"AT5G41970.1",1,0,7,5,7,7
"AT5G42070.1",3,3,0,0,2,2
"AT5G42100.1",1,2,0,0,0,1
"AT5G42130.1",4,1,0,0,4,3
"AT5G42270.1",23,27,4,13,12,11
"AT5G42390.1",11,2,0,0,4,4
"AT5G42480.1",8,5,0,0,3,0
"AT5G42650.1",58,74,13,14,31,28
"AT5G42765.1",6,9,1,1,4,2
"AT5G42960.1",2,4,3,1,4,3
"AT5G42980.1",2,1,1,2,11,10
"AT5G43745.1",3,2,0,0,1,0
"AT5G43750.1",4,6,0,0,1,5
"AT5G43780.1",2,4,0,0,3,2
"AT5G43940.1",3,3,4,2,10,11
"AT5G44000.1",1,2,0,0,0,0
"AT5G44020.1",11,9,119,98,6,6
"AT5G44520.1",2,0,0,0,0,0
"AT5G44650.1",16,25,0,0,11,13
"AT5G45040.1",2,2,0,0,0,1
"AT5G45140.1",1,0,0,0,0,0
"AT5G45170.1",10,6,0,0,7,5
"AT5G45390.1",14,7,3,3,14,16
"AT5G45470.1",1,0,0,0,0,0
"AT5G45680.1",6,5,0,0,4,4
"AT5G45930.1",6,1,0,0,2,1
"AT5G46110.1",10,7,5,2,10,9
"AT5G46290.1",10,6,0,1,4,6
"AT5G46390.1",7,8,0,0,2,0
"AT5G46420.1",1,0,0,0,0,0
"AT5G46580.1",7,2,0,0,2,1
"AT5G47030.1",7,9,30,22,1,1
"AT5G47110.1",9,11,0,0,4,2
"AT5G47190.1",10,7,3,0,4,4
"AT5G47210.1",1,0,15,16,8,7
"AT5G47840.1",9,4,0,0,5,6
"AT5G47860.1",3,7,0,0,1,1
"AT5G47870.1",3,2,1,0,3,1
"AT5G48130.1",2,0,0,0,0,0
"AT5G48220.1",10,1,0,0,3,3
"AT5G48300.1",32,15,2,0,21,29
"AT5G48440.1",3,0,0,0,0,1
"AT5G48470.1",1,0,0,0,0,0
"AT5G48790.1",6,12,1,1,2,3
"AT5G48960.1",12,4,0,0,5,8
"AT5G49030.1",16,2,8,2,8,6
"AT5G49820.1",1,0,0,0,0,0
"AT5G49910.1",16,8,0,0,12,10
"AT5G49940.1",3,0,0,0,0,0
"AT5G49970.1",1,0,11,9,5,5
"AT5G50100.1",1,2,2,1,0,0
"AT5G50110.1",1,0,0,0,0,0
"AT5G50210.1",1,0,0,0,0,0
"AT5G50250.1",6,4,0,0,5,4
"AT5G50850.1",1,1,50,36,13,12
"AT5G50920.1",32,24,24,23,18,47
"AT5G51010.1",8,7,0,0,2,2
"AT5G51070.1",8,1,0,0,1,2
"AT5G51100.1",6,2,0,0,0,1
"AT5G51110.1",2,1,0,0,0,1
"AT5G51545.1",3,8,0,0,2,1
"AT5G51690.1",1,0,0,0,0,0
"AT5G51720.1",2,3,0,0,3,3
"AT5G51820.1",24,14,0,0,31,19
"AT5G52030.1",1,0,0,0,0,0
"AT5G52100.1",4,1,0,0,2,0
"AT5G52110.1",3,4,0,0,0,0
"AT5G52410.1",5,4,0,0,0,0
"AT5G52440.1",7,8,0,0,3,3
"AT5G52520.1",13,7,7,5,9,8
"AT5G52540.1",3,0,0,0,1,2
"AT5G52780.1",1,1,0,0,3,0
"AT5G52810.1",1,0,0,0,1,0
"AT5G52920.1",20,10,0,0,6,6
"AT5G52960.1",2,1,0,0,2,1
"AT5G52970.1",4,4,0,0,2,1
"AT5G53170.1",11,3,0,0,4,5
"AT5G53460.1",46,3,0,0,6,0
"AT5G53490.1",15,15,1,1,12,8
"AT5G53580.1",6,5,2,1,4,2
"AT5G53850.1",3,0,0,0,3,2
"AT5G53860.1",4,2,0,0,0,0
"AT5G54190.1",3,0,0,0,0,0
"AT5G54270.1",16,18,6,3,8,5
"AT5G54600.1",9,10,2,1,7,6
"AT5G54770.1",29,8,0,0,19,19
"AT5G54810.1",3,12,0,0,12,9
"AT5G55160.1",1,1,1,1,1,3
"AT5G55220.1",34,9,0,0,23,16
"AT5G55280.1",7,3,0,0,3,3
"AT5G55510.1",1,0,0,0,0,0
"AT5G55710.1",3,1,0,0,2,0
"AT5G55740.1",1,0,0,0,0,0
"AT5G56090.1",1,1,2,2,1,1
"AT5G56500.1",7,4,0,0,3,2
"AT5G56730.1",2,0,6,0,2,1
"AT5G57030.1",4,5,0,0,4,1
"AT5G57040.1",4,0,0,0,2,2
"AT5G57170.1",1,1,0,0,0,1
"AT5G57345.1",2,0,0,0,1,0
"AT5G57850.1",7,3,0,0,4,5
"AT5G58250.1",10,7,0,0,5,2
"AT5G58260.1",6,7,1,0,4,4
"AT5G58270.1",4,2,19,15,1,4
"AT5G58330.1",19,13,1,0,21,21
"AT5G58870.1",1,2,0,0,1,0
"AT5G59250.1",4,6,1,1,3,5
"AT5G59610.1",1,0,0,0,0,0
"AT5G59750.1",7,2,0,0,3,1
"AT5G59850.1",2,1,3,3,7,10
"AT5G59870.1",1,1,26,16,3,3
"AT5G59910.1",1,2,4,1,2,2
"AT5G60600.1",23,8,0,0,14,10
"AT5G61410.1",13,6,3,0,11,9
"AT5G61580.1",3,1,1,0,1,1
"AT5G61670.1",1,5,0,0,1,1
"AT5G61790.1",1,1,18,16,14,13
"AT5G62140.1",3,3,0,0,3,0
"AT5G62690.1",1,0,1,2,2,2
"AT5G62720.1",3,0,0,0,2,1
"AT5G62790.1",15,5,0,0,12,7
"AT5G62840.1",3,1,0,0,0,0
"AT5G63040.1",2,2,0,0,0,0
"AT5G63050.1",2,0,0,0,2,0
"AT5G63310.1",8,4,0,0,7,4
"AT5G63420.1",24,18,0,0,8,8
"AT5G63570.1",4,3,2,0,4,4
"AT5G63800.1",1,5,0,0,8,6
"AT5G63890.1",8,4,0,0,6,6
"AT5G63980.1",9,6,2,2,10,6
"AT5G64040.1",22,15,12,11,9,9
"AT5G64050.1",13,5,1,1,8,2
"AT5G64110.1",2,1,0,0,0,0
"AT5G64280.1",2,0,0,0,0,0
"AT5G64290.1",5,5,3,3,6,4
"AT5G64300.1",4,0,0,0,1,0
"AT5G64380.1",4,0,0,0,2,2
"AT5G64580.1",11,3,0,0,1,0
"AT5G64840.1",3,0,0,0,0,0
"AT5G64860.1",13,4,0,0,9,10
"AT5G64940.1",11,12,2,0,4,2
"AT5G65220.1",9,8,1,1,9,7
"AT5G65250.1",3,1,0,1,1,1
"AT5G65350.1",1,0,0,7,1,1
"AT5G65440.1",2,0,0,0,0,2
"AT5G65620.1",22,5,4,2,13,14
"AT5G65685.1",3,0,0,0,0,0
"AT5G65780.1",5,3,0,0,2,1
"AT5G65840.1",4,2,0,1,5,4
"AT5G66090.1",11,8,0,0,8,9
"AT5G66120.1",14,6,1,0,9,10
"AT5G66190.1",35,37,7,5,20,24
"AT5G66470.1",4,1,1,1,0,0
"AT5G66530.1",7,1,0,0,4,4
"AT5G66550.1",3,0,0,0,2,2
"AT5G66570.1",32,42,10,7,25,24
"AT5G66631.1",1,0,0,0,0,0
"AT5G66720.1",3,0,3,0,1,0
"AT5G67030.1",24,24,2,2,14,12
"AT5G67290.1",2,1,0,0,0,1
"AT5G67370.1",1,0,0,0,0,0
"AT5G67500.1",2,3,53,38,14,12
"ATCG00020.1",69,82,13,15,37,45
"ATCG00120.1",131,179,54,42,98,108
"ATCG00130.2 atpf",30,39,11,15,16,19
"ATCG00140.1",6,12,2,0,3,2
"ATCG00150.1",3,4,0,0,6,5
"ATCG00160.1",11,7,3,2,7,6
"ATCG00170.1",19,11,0,0,1,0
"ATCG00180.2",6,3,0,0,0,0
"ATCG00190.2 RPOB",12,17,0,0,2,0
"ATCG00270.1",35,48,9,7,33,32
"ATCG00280.1",109,151,22,23,67,61
"ATCG00330.2 RPS14",4,0,2,0,2,1
"ATCG00340.1",111,141,24,16,67,84
"ATCG00350.1",39,51,19,14,44,28
"ATCG00360.1",2,1,0,0,1,2
"ATCG00380.1",14,8,3,3,7,7
"ATCG00420.1",9,9,0,0,2,3
"ATCG00430.1",12,8,1,0,4,6
"ATCG00470.1",13,21,5,4,7,8
"ATCG00480.1",242,355,49,29,135,162
"ATCG00490.1",444,180,92,84,253,234
"ATCG00500.2 ACCD",23,11,2,0,11,5
"ATCG00520.1",4,6,0,0,0,2
"ATCG00540.1",43,63,12,9,27,26
"ATCG00550.1",1,1,0,0,0,0
"ATCG00570.2 PSBF",2,0,1,0,8,2
"ATCG00580.2 PSBE",21,33,6,3,9,13
"ATCG00650.1",8,3,1,2,6,7
"ATCG00660.1",5,2,0,0,3,1
"ATCG00670.2 CLPP1",6,1,1,0,5,7
"ATCG00680.1",169,275,36,37,110,108
"ATCG00700.1",1,1,1,1,1,0
"ATCG00710.1",2,1,2,2,1,1
"ATCG00720.1",7,5,3,3,6,8
"ATCG00730.1",7,6,3,2,15,19
"ATCG00740.2 RPOA",7,4,0,0,3,1
"ATCG00750.1",5,5,3,1,5,3
"ATCG00770.1",7,4,0,0,7,3
"ATCG00780.1",15,7,13,9,10,6
"ATCG00790.1",7,3,4,0,3,4
"ATCG00800.1",23,16,12,10,13,14
"ATCG00810.1",6,3,1,1,4,4
"ATCG00820.1",6,3,0,0,2,2
"ATCG00830.1",17,16,7,2,14,12
"ATCG00840.2 RPL23",10,3,2,1,4,5
"ATCG00860.1",10,1,0,0,0,0
"ATCG00890.2 NDHB",1,1,0,0,1,1
"ATCG00900.1",11,10,1,0,8,9
"ATCG01010.2 NDHF",13,11,0,0,5,7
"ATCG01020.1",3,2,2,0,0,1
"ATCG01050.2",2,0,0,0,1,2
"ATCG01060.1",24,15,11,7,7,9
"ATCG01070.1",1,1,0,0,1,0
"ATCG01090.1",8,7,0,1,3,3
"ATCG01100.1",4,4,0,0,3,1
"ATCG01110.1",20,22,0,0,13,14
"ATCG01120.1",8,5,3,1,5,4
"ATCG01130.1",36,16,1,1,3,8
"ATMG00160.2 sp",1,1,15,11,3,4
"ATMG00510.2 tr",2,4,56,48,14,12
"ATMG00640.2 sp",1,1,17,15,2,4
"ATMG00980.2 sp",2,1,1,0,1,0
"ATMG01080.2 sp",8,0,6,23,0,7
"ATMG01190.2 sp",17,17,204,169,35,42
"AT1G01725.1",0,1,4,3,0,1
"AT1G02130.1",0,1,0,0,0,1
"AT1G02920.1",0,1,1,0,3,3
"AT1G03100.1",0,1,0,0,1,1
"AT1G03740.1",0,1,0,0,0,0
"AT1G04040.1",0,1,53,46,1,1
"AT1G04230.1",0,1,0,0,0,0
"AT1G04630.1",0,1,2,3,0,0
"AT1G05270.1",0,2,9,10,0,0
"AT1G05470.1",0,1,0,0,0,0
"AT1G05900.1",0,1,0,0,0,0
"AT1G06380.1",0,1,0,0,0,0
"AT1G06400.1",0,4,0,5,5,3
"AT1G08830.1",0,2,2,1,7,3
"AT1G09630.1",0,1,0,1,3,3
"AT1G09640.1",0,1,0,3,8,11
"AT1G10390.1",0,1,4,1,2,2
"AT1G11840.1",0,1,4,2,10,8
"AT1G11910.1",0,2,3,1,4,7
"AT1G12310.1",0,1,2,5,1,2
"AT1G13750.1",0,1,0,0,2,2
"AT1G13960.1",0,1,2,0,0,0
"AT1G14320.1",0,1,2,2,0,0
"AT1G15200.1",0,1,0,0,0,0
"AT1G15270.1",0,1,1,1,2,1
"AT1G17420.1",0,1,0,0,0,0
"AT1G17510.1",0,1,0,0,0,0
"AT1G17860.1",0,1,0,0,4,2
"AT1G17880.1",0,1,0,1,2,3
"AT1G18540.1",0,1,4,4,3,1
"AT1G20260.1",0,6,6,9,5,5
"AT1G20693.1",0,3,1,0,1,0
"AT1G22530.1",0,1,5,2,30,22
"AT1G22840.1",0,1,7,7,3,2
"AT1G23130.1",0,1,0,0,4,5
"AT1G24040.1",0,3,0,0,0,0
"AT1G24160.1",0,1,0,0,0,0
"AT1G25410.1",0,1,0,0,0,0
"AT1G26340.1",0,2,0,1,2,2
"AT1G26550.1",0,2,7,7,1,0
"AT1G26850.1",0,1,7,9,3,1
"AT1G27320.1",0,1,0,0,0,0
"AT1G27480.1",0,1,1,0,0,1
"AT1G28290.1",0,2,0,0,1,2
"AT1G29310.1",0,1,2,2,3,4
"AT1G31630.1",0,1,0,0,0,0
"AT1G33270.1",0,1,1,0,1,0
"AT1G33600.1",0,7,1,0,7,6
"AT1G34070.1",0,1,1,1,0,0
"AT1G36240.1",0,1,0,0,4,5
"AT1G41830.1",0,5,0,0,7,8
"AT1G43670.1",0,1,3,4,16,18
"AT1G43890.1",0,1,0,0,2,3
"AT1G47128.1",0,4,0,1,13,10
"AT1G48920.1",0,4,0,2,5,6
"AT1G49240.1",0,1,8,7,19,14
"AT1G51570.1",0,1,0,0,2,3
"AT1G51980.1",0,6,51,53,9,12
"AT1G52740.1",0,5,10,27,0,0
"AT1G52760.1",0,1,0,2,3,1
"AT1G52870.1",0,1,0,0,0,0
"AT1G54410.1",0,2,3,4,1,2
"AT1G54630.1",0,1,0,0,1,3
"AT1G55280.1",0,1,0,0,0,0
"AT1G55370.1",0,1,0,0,0,0
"AT1G55930.1",0,1,0,0,0,0
"AT1G56180.1",0,1,0,0,0,1
"AT1G56330.1",0,3,5,0,0,1
"AT1G61730.1",0,3,13,12,1,1
"AT1G62740.1",0,1,0,0,7,6
"AT1G65130.1",0,1,0,0,0,0
"AT1G65590.1",0,1,0,0,9,1
"AT1G66410.1",0,4,1,3,10,3
"AT1G67230.1",0,2,0,0,2,4
"AT1G67830.1",0,1,0,0,0,1
"AT1G69295.1",0,1,0,0,1,1
"AT1G69523.1",0,1,0,0,0,1
"AT1G70390.1",0,1,0,0,0,0
"AT1G70890.1",0,4,3,3,12,12
"AT1G71040.1",0,4,0,0,4,0
"AT1G72370.1",0,3,8,7,14,12
"AT1G73740.1",0,1,0,0,0,0
"AT1G73750.1",0,2,0,0,1,0
"AT1G74400.1",0,1,0,0,0,0
"AT1G75040.1",0,2,3,1,8,3
"AT1G75200.1",0,1,7,5,0,0
"AT1G77510.1",0,1,10,6,21,16
"AT1G78060.1",0,3,1,0,8,10
"AT1G78150.1",0,1,0,0,2,1
"AT1G78300.1",0,1,4,3,10,8
"AT1G78820.1",0,1,0,0,3,2
"AT1G78830.1",0,4,8,6,7,6
"AT1G78860.1",0,4,0,0,0,0
"AT1G79350.1",0,1,0,0,0,0
"AT2G01250.1",0,1,4,3,9,10
"AT2G01470.1",0,1,3,1,5,3
"AT2G03510.1",0,1,5,6,6,2
"AT2G05920.1",0,2,1,0,6,3
"AT2G13370.1",0,1,0,0,0,0
"AT2G13560.1",0,1,66,52,10,12
"AT2G15050.1",0,1,0,0,0,1
"AT2G16640.1",0,1,0,0,0,0
"AT2G18050.1",0,1,1,0,0,0
"AT2G19520.1",0,2,2,3,3,5
"AT2G20710.1",0,2,2,0,2,2
"AT2G20990.1",0,1,16,5,13,14
"AT2G21160.1",0,1,2,1,2,2
"AT2G21710.1",0,1,0,0,0,0
"AT2G21870.1",0,5,84,76,18,24
"AT2G22170.1",0,1,1,0,2,4
"AT2G22300.1",0,1,0,0,0,0
"AT2G24270.1",0,1,4,2,13,14
"AT2G24280.1",0,1,1,0,4,3
"AT2G26140.1",0,1,30,23,1,2
"AT2G26550.1",0,1,0,0,0,0
"AT2G27020.1",0,2,1,1,7,7
"AT2G27530.1",0,2,2,1,5,6
"AT2G27730.1",0,2,21,15,3,3
"AT2G28305.1",0,1,0,0,0,0
"AT2G29650.1",0,2,0,0,1,0
"AT2G31240.1",0,1,3,1,0,0
"AT2G32670.1",0,1,0,0,0,0
"AT2G33330.1",0,1,0,0,1,0
"AT2G33380.1",0,1,1,1,1,3
"AT2G33830.1",0,2,5,4,4,3
"AT2G36160.1",0,3,2,1,1,1
"AT2G37470.1",0,1,4,3,0,0
"AT2G37600.1",0,1,0,0,2,0
"AT2G37970.1",0,4,9,3,5,5
"AT2G38020.1",0,1,0,0,1,0
