"Master Protein Accessions","arabidopsis_chloroplast_1","arabidopsis_chloroplast_2","arabidopsis_mito_1","arabidopsis_mito_2","arabidopsis_nuclear_1","arabidopsis_nuclear_2"
"AT1G59840.1",6,5,0,0,0,3
"AT1G59990.1",3,0,0,0,0,0
"AT1G60000.1",3,0,0,0,1,2
"AT1G60950.1",2,0,0,0,0,1
"AT1G60990.1",2,0,0,0,1,0
"AT1G61520.1",38,53,8,10,25,34
"AT1G62180.1",6,0,0,0,0,2
"AT1G62480.1",3,0,0,0,17,8
"AT1G62640.1",3,4,0,0,3,3
"AT1G62750.1",42,22,2,0,33,23
"AT1G62780.1",10,5,0,0,4,5
"AT1G62850.2",1,0,0,0,0,0
"AT1G63080.1",1,0,0,0,0,0
"AT1G63610.1",2,0,0,0,3,0
"AT1G63680.1",8,4,0,0,1,0
"AT1G63770.1",22,10,8,5,23,22
"AT1G63940.1",17,12,26,26,13,10
"AT1G63970.1",3,2,1,0,3,4
"AT1G64150.1",1,1,0,0,0,0
"AT1G64190.1",12,7,0,0,3,4
"AT1G64200.1",2,0,1,0,1,0
"AT1G64355.1",2,4,0,0,1,0
"AT1G64430.1",4,5,0,0,0,1
"AT1G64510.1",6,3,0,0,2,4
"AT1G64680.1",2,6,0,0,0,2
"AT1G64770.1",16,22,0,1,8,12
"AT1G64970.1",4,5,0,0,1,2
"AT1G65010.1",1,0,2,0,0,0
"AT1G65230.1",9,5,0,0,2,1
"AT1G65260.1",25,16,2,2,16,14
"AT1G65410.1",2,3,0,0,0,0
"AT1G65930.1",1,3,5,5,23,18
"AT1G65960.1",1,2,3,2,10,10
"AT1G66200.1",1,0,2,1,2,4
"AT1G66430.1",14,5,0,0,7,5
"AT1G66670.1",8,4,0,0,4,7
"AT1G66820.1",1,0,1,0,0,1
"AT1G67080.1",1,1,0,0,0,1
"AT1G67090.1",47,13,12,8,22,26
"AT1G67280.1",17,8,0,0,11,10
"AT1G67560.1",1,6,0,0,0,0
"AT1G67700.1",12,6,9,8,7,8
"AT1G68010.1",8,5,50,39,42,44
"AT1G68260.1",4,0,0,0,1,0
"AT1G68560.1",1,7,7,3,19,13
"AT1G68590.1",5,3,1,0,4,4
"AT1G68830.1",15,24,0,0,9,11
"AT1G69200.1",8,8,0,0,4,0
"AT1G69390.1",1,0,0,0,0,0
"AT1G69740.1",21,7,0,0,12,4
"AT1G69830.1",26,13,0,0,20,25
"AT1G70070.1",9,0,0,0,1,0
"AT1G70200.1",1,1,0,0,0,0
"AT1G70570.1",7,5,0,0,7,6
"AT1G70610.1",1,1,0,0,1,0
"AT1G70760.1",2,1,0,0,1,1
"AT1G70820.1",20,1,0,0,7,9
"AT1G71240.1",4,1,0,0,0,0
"AT1G71300.1",1,0,0,0,0,0
"AT1G71480.1",1,2,0,0,1,2
"AT1G71500.1",17,21,2,3,11,11
"AT1G71695.1",2,5,3,1,5,4
"AT1G71720.1",5,1,0,0,2,2
"AT1G71810.1",4,11,0,0,2,5
"AT1G72150.1",1,4,16,13,29,24
"AT1G72610.1",3,3,4,4,0,0
"AT1G72640.1",4,1,0,0,3,2
"AT1G73060.1",9,8,0,0,1,4
"AT1G73110.1",10,2,1,1,6,5
"AT1G73170.1",2,0,0,0,1,0
"AT1G73530.1",1,1,0,0,1,0
"AT1G73885.1",2,1,0,0,1,1
"AT1G73990.1",14,18,4,5,4,7
"AT1G74030.1",3,2,0,0,1,0
"AT1G74040.1",1,0,0,0,0,0
"AT1G74050.1",3,2,2,2,4,7
"AT1G74070.1",7,11,1,0,5,3
"AT1G74260.1",26,9,0,0,13,19
"AT1G74360.1",1,1,0,0,0,0
"AT1G74470.1",52,54,7,5,21,16
"AT1G74640.1",5,2,0,0,5,0
"AT1G74730.1",2,2,2,2,2,1
"AT1G74850.1",8,3,0,0,1,0
"AT1G74880.1",7,4,0,0,4,3
"AT1G74920.1",1,0,0,0,10,9
"AT1G74960.1",7,1,0,0,4,4
"AT1G74970.1",8,5,2,1,7,6
"AT1G75330.1",5,3,0,0,4,5
"AT1G75350.1",9,3,2,0,5,6
"AT1G75600.1",1,4,0,0,1,0
"AT1G75690.1",2,1,0,0,0,0
"AT1G75750.1",1,0,1,0,0,0
"AT1G76080.1",9,3,0,0,5,2
"AT1G76100.1",5,5,0,0,3,5
"AT1G76140.1",3,1,3,1,10,9
"AT1G76180.1",13,13,11,1,20,15
"AT1G76450.1",8,7,0,0,4,2
"AT1G76730.1",5,4,0,0,2,5
"AT1G77060.1",4,1,0,0,2,1
"AT1G77090.1",11,10,0,0,7,8
"AT1G77122.1",3,0,0,0,1,0
"AT1G77270.1",1,0,0,0,0,1
"AT1G77420.1",1,0,0,0,0,0
"AT1G77490.1",15,28,2,0,16,16
"AT1G77590.1",13,6,4,3,7,7
"AT1G78010.1",1,0,1,1,1,0
"AT1G78140.1",3,6,0,0,0,0
"AT1G78340.1",1,0,0,0,0,0
"AT1G78370.1",4,2,1,0,8,8
"AT1G78380.1",9,6,3,5,22,15
"AT1G78560.1",1,0,0,0,1,1
"AT1G78620.1",3,2,0,0,2,3
"AT1G78630.1",16,12,1,1,8,8
"AT1G78900.1",11,15,54,38,47,41
"AT1G78915.1",10,10,0,0,2,3
"AT1G78995.1",1,0,0,0,1,1
"AT1G79040.1",27,31,14,8,21,14
"AT1G79050.1",4,4,0,0,3,1
"AT1G79080.1",1,0,0,0,0,0
"AT1G79230.1",5,3,29,20,11,9
"AT1G79440.1",2,1,58,58,14,16
"AT1G79530.1",1,2,2,2,0,0
"AT1G79550.1",1,1,8,7,18,18
"AT1G79560.1",8,0,0,0,0,0
"AT1G79600.1",9,22,0,0,3,6
"AT1G79790.1",2,1,0,0,2,4
"AT1G79850.1",7,7,5,5,8,6
"AT1G79870.1",1,0,1,1,5,9
"AT1G80030.1",11,15,1,0,5,4
"AT1G80270.1",2,2,19,15,2,2
"AT1G80300.1",1,3,1,0,7,8
"AT1G80380.1",17,12,1,1,17,17
"AT1G80410.1",1,0,1,0,8,9
"AT1G80480.1",14,4,1,1,5,6
"AT1G80560.1",6,2,0,0,5,2
"AT1G80600.1",11,4,0,0,11,14
"AT1G80770.1",1,0,0,0,0,0
"AT2G01140.1",7,7,1,1,6,2
"AT2G01350.1",5,1,0,0,2,2
"AT2G01870.1",1,1,0,0,1,0
"AT2G02500.1",3,3,0,0,3,4
"AT2G02740.1",5,5,0,0,4,3
"AT2G03140.1",1,0,0,0,1,2
"AT2G03390.1",3,0,0,0,3,2
"AT2G03420.1",6,6,0,0,3,3
"AT2G03440.1",2,1,3,2,7,7
"AT2G04030.1",43,18,1,0,18,27
"AT2G04039.1",6,4,0,0,5,5
